Colonna1	Colonna2
Wenzhouxiangellaceae	family
Wenzhouxiangella	genus
Wenzhouxiangella marina	species
Woeseiaceae	family
Woeseia	genus
Woeseia oceani	species
Thiohalobacter	genus
Thiohalobacter thiocyanaticus	species
Enterobacterales	order
Budviciaceae	family
Leminorella	genus
Leminorella richardii	species
Pragia	genus
Pragia fontium	species
Enterobacteriaceae	family
Atlantibacter	genus
Atlantibacter hermannii	species
Atlantibacter hermannii NBRC 105704	no rank
Buttiauxella	genus
Buttiauxella brennerae	species
Buttiauxella brennerae ATCC 51605	no rank
Buttiauxella ferragutiae	species
Buttiauxella ferragutiae ATCC 51602	no rank
Buttiauxella noackiae	species
Buttiauxella noackiae ATCC 51607	no rank
Buttiauxella sp. 3AFRM03	species
Candidatus Ishikawaella	genus
Candidatus Ishikawaella capsulata	species
Candidatus Ishikawaella capsulata Mpkobe	no rank
Candidatus Moranella	genus
Candidatus Moranella endobia	species
Candidatus Moranella endobia PCIT	no rank
Candidatus Moranella endobia PCVAL	no rank
Candidatus Riesia	genus
Candidatus Riesia pediculicola	species
Candidatus Riesia pediculicola USDA	no rank
Candidatus Riesia pthiripubis	species
Candidatus Riesia sp. GBBU	species
Cedecea	genus
Cedecea davisae	species
Cedecea davisae DSM 4568	no rank
Cedecea neteri	species
Citrobacter	genus
Citrobacter amalonaticus	species
Citrobacter amalonaticus Y19	no rank
Citrobacter farmeri	species
Citrobacter freundii complex	species group
Citrobacter braakii	species
Citrobacter freundii complex sp. CFNIH2	species
Citrobacter freundii complex sp. CFNIH3	species
Citrobacter freundii complex sp. CFNIH4	species
Citrobacter freundii complex sp. CFNIH9	species
Citrobacter freundii	species
Citrobacter freundii CFNIH1	no rank
Citrobacter portucalensis	species
Citrobacter sedlakii	species
Citrobacter sedlakii NBRC 105722	no rank
Citrobacter sp. A316	species
Citrobacter werkmanii	species
Citrobacter youngae	species
Citrobacter youngae ATCC 29220	no rank
Citrobacter koseri	species
Citrobacter koseri ATCC BAA-895	no rank
Citrobacter pasteurii	species
Citrobacter rodentium	species
Citrobacter rodentium ICC168	no rank
Citrobacter sp. 86	species
Citrobacter sp. 92	species
Citrobacter sp. CRE-46	species
Citrobacter sp. FDAARGOS_156	species
Cronobacter	genus
Cronobacter condimenti	species
Cronobacter condimenti 1330	no rank
Cronobacter dublinensis	species
Cronobacter dublinensis subsp. dublinensis	subspecies
Cronobacter dublinensis subsp. dublinensis LMG 23823	no rank
Cronobacter dublinensis subsp. lactaridi	subspecies
Cronobacter dublinensis subsp. lactaridi LMG 23825	no rank
Cronobacter dublinensis subsp. lausannensis	subspecies
Cronobacter dublinensis subsp. lausannensis LMG 23824	no rank
Cronobacter malonaticus	species
Cronobacter malonaticus LMG 23826	no rank
Cronobacter muytjensii	species
Cronobacter muytjensii ATCC 51329	no rank
Cronobacter sakazakii	species
Cronobacter sakazakii ATCC BAA-894	no rank
Cronobacter sakazakii ES15	no rank
Cronobacter sakazakii SP291	no rank
Cronobacter turicensis	species
Cronobacter turicensis z3032	no rank
Cronobacter turicensis z610	no rank
Cronobacter universalis	species
Cronobacter universalis NCTC 9529	no rank
Enterobacter	genus
Enterobacter bugandensis	species
Enterobacter cloacae complex	species group
Enterobacter asburiae	species
Enterobacter asburiae L1	no rank
Enterobacter asburiae LF7a	no rank
Enterobacter cancerogenus	species
Enterobacter cloacae complex sp. ECNIH7	species
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	species
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	species
Enterobacter cloacae complex sp.	species
Enterobacter cloacae	species
Enterobacter cloacae BIDMC 33A	no rank
Enterobacter cloacae ECNIH2	no rank
Enterobacter cloacae EcWSU1	no rank
Enterobacter cloacae P101	no rank
Enterobacter cloacae UCI 36	no rank
Enterobacter cloacae subsp. cloacae	subspecies
Enterobacter cloacae subsp. cloacae ATCC 13047	no rank
Enterobacter cloacae subsp. cloacae ENHKU01	no rank
Enterobacter cloacae subsp. cloacae NCTC 9394	no rank
Enterobacter cloacae subsp. dissolvens	subspecies
Enterobacter cloacae subsp. dissolvens SDM	no rank
Enterobacter hormaechei	species
Enterobacter hormaechei subsp. hoffmannii	subspecies
Enterobacter hormaechei subsp. hoffmannii ECNIH3	no rank
Enterobacter hormaechei subsp. hoffmannii ECR091	no rank
Enterobacter sp. MGH 12	no rank
Enterobacter hormaechei subsp. hormaechei	subspecies
Enterobacter hormaechei ATCC 49162	no rank
Enterobacter hormaechei subsp. oharae	subspecies
Enterobacter hormaechei subsp. steigerwaltii	subspecies
Enterobacter hormaechei subsp. xiangfangensis	subspecies
Enterobacter kobei	species
Enterobacter ludwigii	species
Enterobacter roggenkampii	species
Enterobacter sp. FB	no rank
Enterobacter sp. BIDMC 29	species
Enterobacter sp. MGH 10	species
Enterobacter mori	species
Enterobacter mori LMG 25706	no rank
Enterobacter sp. 638	species
Enterobacter sp. Bisph1	species
Enterobacter sp. CRENT-193	species
Enterobacter sp. Crenshaw	species
Enterobacter sp. DC1	species
Enterobacter sp. DKU_NT_01	species
Enterobacter sp. E20	species
Enterobacter sp. FY-07	species
Enterobacter sp. HK169	species
Enterobacter sp. IF2SW-B1	species
Enterobacter sp. ODB01	species
Enterobacter sp. R4-368	species
Enterobacter sp. SA187	species
Enterobacter sp. UCD-UG_FMILLET	species
Enterobacter timonensis	species
Escherichia	genus
Escherichia albertii	species
Escherichia albertii KF1	no rank
Escherichia albertii TW07627	no rank
Escherichia coli	species
Escherichia coli 'BL21-Gold(DE3)pLysS AG'	no rank
Escherichia coli 1303	no rank
Escherichia coli 536	no rank
Escherichia coli 55989	no rank
Escherichia coli AA86	no rank
Escherichia coli ABU 83972	no rank
Escherichia coli ACN001	no rank
Escherichia coli APEC IMT5155	no rank
Escherichia coli APEC O18	no rank
Escherichia coli APEC O1	no rank
Escherichia coli APEC O2-211	no rank
Escherichia coli APEC O78	no rank
Escherichia coli ATCC 25922	no rank
Escherichia coli B26-2	no rank
Escherichia coli B7A	no rank
Escherichia coli B94	no rank
Escherichia coli B	no rank
Escherichia coli B str. REL606	no rank
Escherichia coli BCE007_MS-11	no rank
Escherichia coli BL21(DE3)	no rank
Escherichia coli C	no rank
Escherichia coli ATCC 8739	no rank
Escherichia coli CFT073	no rank
Escherichia coli DEC14A	no rank
Escherichia coli DEC1A	no rank
Escherichia coli DEC1C	no rank
Escherichia coli DEC1D	no rank
Escherichia coli DEC6B	no rank
Escherichia coli DEC6D	no rank
Escherichia coli DEC7B	no rank
Escherichia coli DEC8A	no rank
Escherichia coli DEC9A	no rank
Escherichia coli DEC9B	no rank
Escherichia coli DH1	no rank
Escherichia coli DORA_A_5_14_21	no rank
Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	no rank
Escherichia coli ECC-1470	no rank
Escherichia coli ED1a	no rank
Escherichia coli EPEC11	no rank
Escherichia coli ETEC H10407	no rank
Escherichia coli F11	no rank
Escherichia coli FAP1	no rank
Escherichia coli H120	no rank
Escherichia coli H299	no rank
Escherichia coli H30	no rank
Escherichia coli H591	no rank
Escherichia coli H605	no rank
Escherichia coli HS	no rank
Escherichia coli IAI1	no rank
Escherichia coli IAI39	no rank
Escherichia coli IHE3034	no rank
Escherichia coli J96	no rank
Escherichia coli JJ1886	no rank
Escherichia coli JJ1887	no rank
Escherichia coli K-12	no rank
Escherichia coli BW25113	no rank
Escherichia coli BW2952	no rank
Escherichia coli ER2796	no rank
Escherichia coli str. K-12 substr. DH10B	no rank
Escherichia coli str. K-12 substr. MC4100	no rank
Escherichia coli str. K-12 substr. MDS42	no rank
Escherichia coli str. K-12 substr. MG1655	no rank
synthetic Escherichia coli C321.deltaA	no rank
Escherichia coli str. K-12 substr. W3110	no rank
Escherichia coli KLY	no rank
Escherichia coli KO11FL	no rank
Escherichia coli KTE195	no rank
Escherichia coli KTE56	no rank
Escherichia coli KTE9	no rank
Escherichia coli LAU-EC3	no rank
Escherichia coli LCT-EC106	no rank
Escherichia coli LY180	no rank
Escherichia coli M8	no rank
Escherichia coli MP020980.2	no rank
Escherichia coli NCCP 15655	no rank
Escherichia coli NCCP 15656	no rank
Escherichia coli NCCP15648	no rank
Escherichia coli NU14	no rank
Escherichia coli Nissle 1917	no rank
Escherichia coli O103:H2	no rank
Escherichia coli O103:H2 str. 12009	no rank
Escherichia coli O103	no rank
Escherichia coli O103 str. RM8385	no rank
Escherichia coli O104:H21	no rank
Escherichia coli O104:H21 str. CFSAN002236	no rank
Escherichia coli O104:H4	no rank
Escherichia coli O104:H4 str. 2009EL-2050	no rank
Escherichia coli O104:H4 str. 2009EL-2071	no rank
Escherichia coli O104:H4 str. 2011C-3493	no rank
Escherichia coli O104:H4 str. C227-11	no rank
Escherichia coli O111:H-	no rank
Escherichia coli O111:H- str. 11128	no rank
Escherichia coli O111	no rank
Escherichia coli O111 str. RM9322	no rank
Escherichia coli O114:H49	no rank
Escherichia coli O121:H19	no rank
Escherichia coli O121	no rank
Escherichia coli O121 str. RM8352	no rank
Escherichia coli O127:H6	no rank
Escherichia coli O127:H6 str. E2348/69	no rank
Escherichia coli O128:H27	no rank
Escherichia coli O139:H28	no rank
Escherichia coli O139:H28 str. E24377A	no rank
Escherichia coli O145:H28	no rank
Escherichia coli O145:H28 str. RM12581	no rank
Escherichia coli O145:H28 str. RM12761	no rank
Escherichia coli O145:H28 str. RM13514	no rank
Escherichia coli O145:H28 str. RM13516	no rank
Escherichia coli O145	no rank
Escherichia coli O145 str. RM9872	no rank
Escherichia coli O157:H16	no rank
Escherichia coli O157:H7	no rank
Escherichia coli O157:H7 str. EC4115	no rank
Escherichia coli O157:H7 str. EDL933	no rank
Escherichia coli O157:H7 str. H093800014	no rank
Escherichia coli O157:H7 str. SS17	no rank
Escherichia coli O157:H7 str. SS52	no rank
Escherichia coli O157:H7 str. Sakai	no rank
Escherichia coli O157:H7 str. TW14359	no rank
Escherichia coli O157	no rank
Escherichia coli O15:H11	no rank
Escherichia coli O169:H41	no rank
Escherichia coli O178:H19	no rank
Escherichia coli O182:H21	no rank
Escherichia coli O25:H16	no rank
Escherichia coli O25:NM	no rank
Escherichia coli O25b:H4-ST131	no rank
Escherichia coli O25b:H4	no rank
Escherichia coli O26:H11	no rank
Escherichia coli O26:H11 str. 11368	no rank
Escherichia coli O26	no rank
Escherichia coli O26 str. RM10386	no rank
Escherichia coli O26 str. RM8426	no rank
Escherichia coli O27:H7	no rank
Escherichia coli O32:H37	no rank
Escherichia coli O32:H37 str. P4	no rank
Escherichia coli O43	no rank
Escherichia coli O43 str. RM10042	no rank
Escherichia coli O44:H18	no rank
Escherichia coli 042	no rank
Escherichia coli O55:H7	no rank
Escherichia coli O55:H7 str. CB9615	no rank
Escherichia coli O55:H7 str. RM12579	no rank
Escherichia coli O6:H16	no rank
Escherichia coli O7:K1	no rank
Escherichia coli O7:K1 str. CE10	no rank
Escherichia coli O83:H1	no rank
Escherichia coli O83:H1 str. NRG 857C	no rank
Escherichia coli O91	no rank
Escherichia coli O91 str. RM7190	no rank
Escherichia coli P0299438.2	no rank
Escherichia coli P0301867.1	no rank
Escherichia coli P12b	no rank
Escherichia coli PA7	no rank
Escherichia coli PCN033	no rank
Escherichia coli PCN061	no rank
Escherichia coli PMV-1	no rank
Escherichia coli RS218	no rank
Escherichia coli S88	no rank
Escherichia coli SE11	no rank
Escherichia coli SE15	no rank
Escherichia coli SHECO002	no rank
Escherichia coli SMS-3-5	no rank
Escherichia coli STEC_94C	no rank
Escherichia coli STEC_S1191	no rank
Escherichia coli TOP291	no rank
Escherichia coli TOP293-1	no rank
Escherichia coli TOP293-2	no rank
Escherichia coli TOP293-3	no rank
Escherichia coli TOP293-4	no rank
Escherichia coli TOP379	no rank
Escherichia coli TOP498	no rank
Escherichia coli TOP550-1	no rank
Escherichia coli TW07793	no rank
Escherichia coli UM146	no rank
Escherichia coli UMN026	no rank
Escherichia coli UMNK88	no rank
Escherichia coli UTI89	no rank
Escherichia coli VR50	no rank
Escherichia coli W	no rank
Escherichia coli Xuzhou21	no rank
Escherichia coli chi7122	no rank
Escherichia coli p0305293.1	no rank
Escherichia coli str. 'clone D i14'	no rank
Escherichia coli str. 'clone D i2'	no rank
Escherichia coli str. Sanji	no rank
Escherichia fergusonii	species
Escherichia fergusonii ATCC 35469	no rank
Escherichia marmotae	species
Escherichia sp. KTE11	species
Escherichia sp. TW11588	species
Franconibacter	genus
Franconibacter helveticus	species
Franconibacter helveticus 1159	no rank
Franconibacter pulveris	species
Franconibacter pulveris 1160	no rank
Gibbsiella	genus
Gibbsiella quercinecans	species
Izhakiella	genus
Izhakiella australiensis	species
Izhakiella capsodis	species
Klebsiella	genus
Klebsiella aerogenes	species
Klebsiella aerogenes EA1509E	no rank
Klebsiella aerogenes KCTC 2190	no rank
Klebsiella aerogenes UCI 27	no rank
Klebsiella michiganensis	species
Klebsiella michiganensis E718	no rank
Klebsiella michiganensis HKOPL1	no rank
Klebsiella michiganensis KCTC 1686	no rank
Klebsiella oxytoca	species
Klebsiella oxytoca KONIH1	no rank
Klebsiella pneumoniae	species
Klebsiella pneumoniae 30660/NJST258_1	no rank
Klebsiella pneumoniae 30684/NJST258_2	no rank
Klebsiella pneumoniae 500_1420	no rank
Klebsiella pneumoniae ATCC 25955	no rank
Klebsiella pneumoniae ATCC 43816	no rank
Klebsiella pneumoniae BIDMC 33B	no rank
Klebsiella pneumoniae CG43	no rank
Klebsiella pneumoniae DMC1097	no rank
Klebsiella pneumoniae HK787	no rank
Klebsiella pneumoniae JM45	no rank
Klebsiella pneumoniae KCTC 2242	no rank
Klebsiella pneumoniae KP-1	no rank
Klebsiella pneumoniae Kb677	no rank
Klebsiella pneumoniae MGH 45	no rank
Klebsiella pneumoniae MGH 47	no rank
Klebsiella pneumoniae MGH 66	no rank
Klebsiella pneumoniae UCI 37	no rank
Klebsiella pneumoniae UCI 56	no rank
Klebsiella pneumoniae UHKPC07	no rank
Klebsiella pneumoniae UHKPC33	no rank
Klebsiella pneumoniae UHKPC81	no rank
Klebsiella pneumoniae subsp. ozaenae	subspecies
Klebsiella pneumoniae subsp. pneumoniae	subspecies
Klebsiella pneumoniae subsp. pneumoniae 1084	no rank
Klebsiella pneumoniae subsp. pneumoniae 1158	no rank
Klebsiella pneumoniae subsp. pneumoniae DSM 30104	no rank
Klebsiella pneumoniae subsp. pneumoniae HS11286	no rank
Klebsiella pneumoniae subsp. pneumoniae KPNIH10	no rank
Klebsiella pneumoniae subsp. pneumoniae KPNIH1	no rank
Klebsiella pneumoniae subsp. pneumoniae KPNIH24	no rank
Klebsiella pneumoniae subsp. pneumoniae KPNIH27	no rank
Klebsiella pneumoniae subsp. pneumoniae KPR0928	no rank
Klebsiella pneumoniae subsp. pneumoniae Kp13	no rank
Klebsiella pneumoniae subsp. pneumoniae MGH 78578	no rank
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	no rank
Klebsiella pneumoniae subsp. pneumoniae PittNDM01	no rank
Klebsiella pneumoniae subsp. pneumoniae ST512-K30BO	no rank
Klebsiella pneumoniae subsp. rhinoscleromatis	subspecies
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884	no rank
Klebsiella pneumoniae subsp. rhinoscleromatis SB3432	no rank
Klebsiella quasipneumoniae	species
Klebsiella quasipneumoniae subsp. quasipneumoniae	subspecies
Klebsiella quasipneumoniae subsp. similipneumoniae	subspecies
Klebsiella quasivariicola	species
Klebsiella sp. D5A	species
Klebsiella sp. LTGPAF-6F	species
Klebsiella sp. M5al	species
Klebsiella sp. RIT-PI-d	species
Klebsiella variicola	species
Klebsiella variicola At-22	no rank
Klebsiella variicola MGH 80	no rank
Kluyvera	genus
Kluyvera ascorbata	species
Kluyvera ascorbata ATCC 33433	no rank
Kluyvera cryocrescens	species
Kluyvera intermedia	species
Kluyvera intermedia NBRC 102594 = ATCC 33110	no rank
Kosakonia	genus
Kosakonia cowanii	species
Kosakonia oryzae	species
Kosakonia radicincitans	species
Kosakonia radicincitans DSM 16656	no rank
Kosakonia sacchari	species
Kosakonia sacchari SP1	no rank
Leclercia	genus
Leclercia adecarboxylata	species
Leclercia sp. LSNIH3	species
Leclercia sp. W17	species
Leclercia sp. W6	species
Lelliottia	genus
Lelliottia amnigena	species
Lelliottia jeotgali	species
Lelliottia nimipressuralis	species
Lelliottia sp. WB101	species
Limnobaculum	genus
Limnobaculum parvum	species
Mangrovibacter	genus
Mangrovibacter phragmitis	species
Mangrovibacter sp. MFB070	species
Metakosakonia	genus
Metakosakonia massiliensis	species
Metakosakonia massiliensis JC163	no rank
Pluralibacter	genus
Pluralibacter gergoviae	species
[Enterobacter] lignolyticus	species
[Enterobacter] lignolyticus SCF1	no rank
Raoultella	genus
Raoultella ornithinolytica	species
Raoultella ornithinolytica B6	no rank
Raoultella planticola	species
Raoultella sp. X13	species
Raoultella terrigena	species
Salmonella	genus
Salmonella bongori	species
Salmonella bongori N268-08	no rank
Salmonella bongori NCTC 12419	no rank
Salmonella bongori serovar 40:z35:-	no rank
Salmonella bongori serovar 48:z41:--	no rank
Salmonella bongori serovar 48:z41:-- str. RKS3044	no rank
Salmonella bongori serovar 66:z41:-	no rank
Salmonella bongori serovar 66:z41:- str. SA19983605	no rank
Salmonella enterica	species
Salmonella enterica subsp. VII	subspecies
Salmonella enterica subsp. VII serovar 1,40:g,z51:--	no rank
Salmonella enterica subsp. arizonae	subspecies
Salmonella enterica subsp. arizonae serovar 18:z4,z23:-	no rank
Salmonella enterica subsp. arizonae serovar 18:z4,z23:- str. CVM N4410	no rank
Salmonella enterica subsp. arizonae serovar 62:z36:-	no rank
Salmonella enterica subsp. arizonae serovar 62:z36:- str. 5335/86	no rank
Salmonella enterica subsp. arizonae serovar 62:z36:- str. RKS2983	no rank
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	no rank
Salmonella enterica subsp. arizonae serovar 63:g,z51:-	no rank
Salmonella enterica subsp. arizonae serovar 63:g,z51:- str. So 20/20	no rank
Salmonella enterica subsp. diarizonae	subspecies
Salmonella enterica subsp. diarizonae serovar 50:k:z	no rank
Salmonella enterica subsp. diarizonae serovar 50:k:z str. MZ0080	no rank
Salmonella enterica subsp. diarizonae serovar 60:r:z	no rank
Salmonella enterica subsp. diarizonae serovar 65:c:z	no rank
Salmonella enterica subsp. diarizonae serovar 65:c:z str. SA20044251	no rank
Salmonella enterica subsp. enterica	subspecies
Salmonella enterica subsp. enterica serovar 4,[5],12:i:-	no rank
Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736	no rank
Salmonella enterica subsp. enterica serovar Abaetetuba	no rank
Salmonella enterica subsp. enterica serovar Abaetetuba str. ATCC 35640	no rank
Salmonella enterica subsp. enterica serovar Aberdeen	no rank
Salmonella enterica subsp. enterica serovar Abony	no rank
Salmonella enterica subsp. enterica serovar Abony str. 0014	no rank
Salmonella enterica subsp. enterica serovar Agona	no rank
Salmonella enterica subsp. enterica serovar Agona str. 24249	no rank
Salmonella enterica subsp. enterica serovar Agona str. 31.H.09	no rank
Salmonella enterica subsp. enterica serovar Agona str. 392869-2	no rank
Salmonella enterica subsp. enterica serovar Agona str. 460004 2-1	no rank
Salmonella enterica subsp. enterica serovar Agona str. SL483	no rank
Salmonella enterica subsp. enterica serovar Albany	no rank
Salmonella enterica subsp. enterica serovar Albany str. ATCC 51960	no rank
Salmonella enterica subsp. enterica serovar Anatum	no rank
Salmonella enterica subsp. enterica serovar Anatum str. ATCC BAA-1592	no rank
Salmonella enterica subsp. enterica serovar Anatum str. CDC 06-0532	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1175	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1676	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1677	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1727	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1728	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1735	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1736	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1765	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1766	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1781	no rank
Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1783	no rank
Salmonella enterica subsp. enterica serovar Antsalova	no rank
Salmonella enterica subsp. enterica serovar Antsalova str. S01-0511	no rank
Salmonella enterica subsp. enterica serovar Apapa	no rank
Salmonella enterica subsp. enterica serovar Apapa str. SA20060561	no rank
Salmonella enterica subsp. enterica serovar Bardo	no rank
Salmonella enterica subsp. enterica serovar Bareilly	no rank
Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189	no rank
Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000191	no rank
Salmonella enterica subsp. enterica serovar Bergen	no rank
Salmonella enterica subsp. enterica serovar Bergen str. ST350	no rank
Salmonella enterica subsp. enterica serovar Blegdam	no rank
Salmonella enterica subsp. enterica serovar Blegdam str. S-1824	no rank
Salmonella enterica subsp. enterica serovar Borreze	no rank
Salmonella enterica subsp. enterica serovar Borreze str. SA20041063	no rank
Salmonella enterica subsp. enterica serovar Bovismorbificans	no rank
Salmonella enterica subsp. enterica serovar Braenderup	no rank
Salmonella enterica subsp. enterica serovar Bredeney	no rank
Salmonella enterica subsp. enterica serovar Bredeney str. CFSAN001080	no rank
Salmonella enterica subsp. enterica serovar Cerro	no rank
Salmonella enterica subsp. enterica serovar Cerro str. CFSAN001588	no rank
Salmonella enterica subsp. enterica serovar Chester	no rank
Salmonella enterica subsp. enterica serovar Chester str. ATCC 11997	no rank
Salmonella enterica subsp. enterica serovar Choleraesuis	no rank
Salmonella enterica subsp. enterica serovar Choleraesuis str. ATCC 10708	no rank
Salmonella enterica subsp. enterica serovar Concord	no rank
Salmonella enterica subsp. enterica serovar Corvallis	no rank
Salmonella enterica subsp. enterica serovar Crossness	no rank
Salmonella enterica subsp. enterica serovar Crossness str. 1422-74	no rank
Salmonella enterica subsp. enterica serovar Cubana	no rank
Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050	no rank
Salmonella enterica subsp. enterica serovar Derby	no rank
Salmonella enterica subsp. enterica serovar Djakarta	no rank
Salmonella enterica subsp. enterica serovar Djakarta str. S-1087	no rank
Salmonella enterica subsp. enterica serovar Dublin	no rank
Salmonella enterica subsp. enterica serovar Dublin str. ATCC 39184	no rank
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	no rank
Salmonella enterica subsp. enterica serovar Enteritidis	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. 18569	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090135	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090193	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090195	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090332	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090530	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090531	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090641	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090698	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090884	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100088	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100089	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100100	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100101	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100103	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100130	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100131	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100134	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20100325	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110221	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110222	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110223	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110353	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110354	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110355	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110356	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110357	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110358	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110359	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110360	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110361	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111095	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111174	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111175	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111510	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111514	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111515	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111554	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111561	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111576	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120002	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120003	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120005	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120007	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120008	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120009	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120051	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120200	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120213	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120219	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120229	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120240	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120356	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120469	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120496	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120497	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120498	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120505	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120528	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120544	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120548	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120555	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120580	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120581	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120590	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120597	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120677	no rank
