primaryAccession	start	stop	submitted_path	submitted_name	ncbi_taxonid
KY562725	27328	30367	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Geraniales;Geraniaceae;Geranium;"	Geranium pyrenaicum	379953
GAMG01019100	1798	4677	"Eukaryota;Haptophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;"	Prymnesium parvum	97485
KJ877242	1	3273	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Pellioditis;"	Pellioditis sp. VS-2014	1538702
KJ877244	1	3442	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Acrostichus;"	Acrostichus rhynchophori	1538711
KJ877245	1	3446	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Diplogasteriana;"	Diplogasteriana sp. VS-2014	1538691
KJ877246	1	3445	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Diplogasteriana;"	Diplogasteriana schneideri	669146
KJ877247	1	3448	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Butlerius;"	Butlerius sp. VS-2014	1538690
KJ877248	1	3440	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Diplogastrellus;"	Diplogastrellus sp. VS-2014	1538693
KJ877249	1	3437	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Diplogastrellus;"	Diplogastrellus gracilis	669117
KJ877250	1	3432	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Pseudodiplogasteroides;"	Pseudodiplogasteroides sp. VS-2014	1538704
KJ877251	1	3438	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Rhabditidoides;"	Rhabditidoides sp. VS-2014	1538705
KJ877252	1	3447	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Micoletzkya;"	Micoletzkya buetschlii	1250331
KJ877253	1	3443	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteroididae;Diplogasteroides;"	Diplogasteroides halleri	1538714
KJ877254	1	3444	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteroididae;Diplogasteroides;"	Diplogasteroides sp. 'Fuchsnema' VS-2014	1538728
KJ877255	1	3423	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Rhabditolaimus;"	Rhabditolaimus sp. 2 VS-2014	1538707
KJ877256	1	3428	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Rhabditolaimus;"	Rhabditolaimus sp. 1 VS-2014	1538706
KJ877257	1	3433	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Levipalatum;"	Levipalatum texanum	1486449
KJ877258	1	3453	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Fictor;"	Fictor levidentus	1538712
KJ877259	1	3457	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Paroigolaimella;"	Paroigolaimella micrura	1538726
KJ877260	1	3458	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Sachsia;"	Sachsia zurstrasseni	1538730
KJ877261	1	3486	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Paroigolaimella;"	Paroigolaimella stresemanni	1538727
KJ877262	1	3461	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Mononchoides;"	Mononchoides sp. 1 VS-2014	1538697
KJ877263	1	3465	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Mononchoides;"	Mononchoides sp. 2 VS-2014	1538698
KJ877264	1	3458	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Mononchoides;"	Mononchoides sp. 3 VS-2014	1538699
KJ877265	1	3433	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Neodiplogaster;"	Neodiplogaster sp. VS-2014	1538700
KJ877266	1	3448	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Koerneria;"	Koerneria hylobii	1538715
KJ877267	1	3442	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Koerneria;"	Koerneria sudhausi	669118
KJ877268	1	3465	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Teratodiplogaster;"	Teratodiplogaster sp. 1 VS-2014	1538708
KJ877269	1	3470	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Teratodiplogaster;"	Teratodiplogaster sp. 2 VS-2014	1538709
KJ877270	1	3435	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteroididae;Diplogasteroides;"	Diplogasteroides magnus	560213
KJ877271	1	3431	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteroididae;Diplogasteroides;"	Diplogasteroides sp. 1 VS-2014	1538692
KJ877273	1	3399	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Pristionchus;"	Pristionchus fissidentatus	1538716
KJ877274	1	3390	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Pristionchus;"	Pristionchus elegans	1420681
KJ877275	1	3441	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Oigolaimella;"	Oigolaimella sp. VS-2014	1538701
KJ877276	1	3434	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Oigolaimella;"	Oigolaimella attenuata	669116
KJ877277	1	3439	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Leptojacobus;"	Leptojacobus dorci	1463561
KJ877278	1	3458	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Sudhausia;"	Sudhausia aristotokia	1357959
KJ877279	1	3453	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Sudhausia;"	Sudhausia crassa	1357960
KJ877280	1	3414	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Fictor;"	Fictor sp. 1 VS-2014	1538694
KJ877281	1	3450	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Fictor;"	Fictor sp. 2 VS-2014	1538695
KJ877282	1	3397	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Fictor;"	Fictor stercorarius	1538713
KJ877283	1	3406	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Koerneria;"	Koerneria sp. 2 VS-2014	1538696
KJ877284	1	3422	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Neodiplogasteridae;Koerneria;"	Koerneria luziae	912562
KJ877285	1	3598	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Diplogasteromorpha;Diplogasteroidea;Diplogasteridae;Mehdinema;"	Mehdinema alii	1538724
KJ877287	1	3437	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Bunonematomorpha;Bunonematoidea;Bunonematidae;Bunonema;"	Bunonema sp. VS-2014	1538689
FP924938	12317	14402	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Holometabola;Lepidoptera;Glossata;Ditrysia;Papilionoidea;Nymphalidae;Heliconiinae;Heliconiini;Heliconius;"	Heliconius melpomene (postman butterfly)	34740
KY572842	1	2724	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Rhodomelaceae;Odonthalia;"	Odonthalia dentata	1240992
GAZF02035495	8	2503	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Aphidomorpha;Aphidoidea;Lachnidae;Essigella;"	Essigella californica	759921
KF925843	1	2361	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Nuttalliellidae;Nuttalliella;"	Nuttalliella namaqua	1029659
GATY02017615	964	4027	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Holometabola;Hymenoptera;Apocrita;Aculeata;Chrysidoidea;Chrysididae;Chrysidinae;Chrysidini;Chrysis;"	Chrysis viridula	212616
GALU01000727	140	3411	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Rosaceae;Maloideae;Maleae;Crataegus;"	Crataegus pinnatifida	510735
GADN01007584	228	3998	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Iguania;Iguanidae;Polychrotinae;Anolis;"	Anolis carolinensis (green anole)	28377
GAYN02054388	420	3738	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Diplura;Diplura;Rhabdura;Campodeoidea;Campodeidae;Campodea;"	Campodea augens	438502
AB044639	1	2385	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Hypocreales;Ophiocordycipitaceae;Polycephalomyces;"	Polycephalomyces kanzashianus	94210
AB044640	1	2549	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Hypocreales;Ophiocordycipitaceae;Polycephalomyces;"	Polycephalomyces prolificus	94209
GAVZ01034851	172	3326	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Celastrales;Celastraceae;Tripterygium;"	Tripterygium wilfordii	458696
AB044641	1	2365	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Hypocreales;Cordycipitaceae;Cordyceps;"	Cordyceps sp. 97009	94216
MF680448	4231	8254	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Holometabola;Trichoptera;Integripalpia;Plenitentoria;Limnephiloidea;Limnephilidae;Limnephilinae;Limnephilini;Anabolia;"	Anabolia bimaculata	691719
GAQC01003188	274	3165	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Solanales;Convolvulaceae;Cuscuteae;Cuscuta;Grammica;Cuscuta sect. Racemosae;"	Cuscuta suaveolens	437306
GAHO01050726	64	3855	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Ostariophysi;Cypriniformes;Cyprinidae;Sinocyclocheilus;"	Sinocyclocheilus angustiporus	307947
KU866530	104619	107441	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Apiales;Apiaceae;Apioideae;apioid superclade;Selineae;Peucedanum;"	Peucedanum japonicum	49563
GABP01000002	2308	6095	"Eukaryota;Alveolata;Dinophyceae;Gonyaulacales;Lingulodinium;"	Lingulodinium polyedrum	160621
GAZB02068331	1	2778	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Holometabola;Coleoptera;Myxophaga;Lepiceridae;Lepicerus;"	Lepicerus sp. AD-2013	1323565
EF990191	1	2573	"Eukaryota;Stramenopiles;PX clade;Xanthophyceae;Tribonematales;Heteropediaceae;Heterococcus;"	Heterococcus caespitosus	55585
GAXP01028866	460	3243	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Holometabola;Hymenoptera;Apocrita;Aculeata;Pompiloidea;Mutillidae;Sphaeropthalminae;Sphaeropthalma;"	Sphaeropthalma orestes	374941
EF990192	1	2577	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Ascoseirales;Ascoseira;"	Ascoseira mirabilis	76830
EF990193	1	2610	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyota;"	Dictyota binghamiae	471159
HO641320	1	1912	"Eukaryota;Viridiplantae;Streptophyta;Zygnemophyceae;Desmidiales;Peniaceae;Penium;"	Penium margaritaceum	102169
EF990194	1	2618	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Dictyotales;Dictyotaceae;Padina;"	Padina japonica	213154
GAZA02106860	3695	6613	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Embioptera;Oligotomidae;Haploembia;"	Haploembia palaui	1323539
EF990195	1	2600	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Dictyotales;Dictyotaceae;Padina;"	Padina melemele	465770
EF990196	1	2624	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Dictyotales;Dictyotaceae;Lobophora;"	Lobophora variegata	157001
EF990200	1	2605	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Ectocarpales;Chordariaceae;Dictyosiphon;"	Dictyosiphon foeniculaceus	64925
KT445934	7080	11520	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Galloanserae;Galliformes;Phasianidae;Phasianinae;Gallus;"	Gallus gallus (chicken)	9031
GASC01045485	462	3583	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Gentianales;Rubiaceae;Cinchonoideae;Naucleeae;Neolamarckia;"	Neolamarckia cadamba	153762
EF990204	1	2762	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Desmarestiales;Desmarestiaceae;Desmarestia;"	Desmarestia aculeata	62298
FJ030881	1	3122	"Eukaryota;Stramenopiles;PX clade;Xanthophyceae;Mischococcales;Botryochloridaceae;Chlorellidium;"	Chlorellidium tetrabotrys	243652
FJ030882	1	3303	"Eukaryota;Stramenopiles;Developea;Developayella;"	Developayella elegans	42750
FJ030883	1	3148	"Eukaryota;Stramenopiles;Bicosoecida;Caecitellus;"	Caecitellus parvulus	127148
FJ030884	1	3097	"Eukaryota;Stramenopiles;Bicosoecida;Nerada;"	Nerada mexicana	281460
HG345204	2904	6020	"Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Rhizoctonia;"	Rhizoctonia solani	456999
KX060598	4988	9768	"Eukaryota;Metazoa;Platyhelminthes;Cestoda;Eucestoda;Bothriocephalidea;Bothriocephalidae;Schyzocotyle;"	Schyzocotyle nayarensis	1697567
GAZL01002170	73	3792	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Euopisthobranchia;Aplysiomorpha;Aplysioidea;Aplysiidae;Aplysia;"	Aplysia californica (California sea hare)	6500
EF990207	1	2752	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Fucales;Durvillaeaceae;Durvillaea;"	Durvillaea potatorum	91052
GAZN02049153	2	1948	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Cryptocercoidae;Cryptocercidae;Cryptocercus;"	Cryptocercus wrighti	89837
KY587457	105309	108123	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Campanulaceae;Codonopsis;"	Codonopsis minima	1735385
GACE01004956	33	2955	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Gentianales;Apocynaceae;Rauvolfioideae;Vinceae;Rauvolfiinae;Rauvolfia;"	Rauvolfia serpentina (serpentwood)	4060
GAZE02164633	74	2676	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Termitoidae;Mastotermitidae;Mastotermes;"	Mastotermes darwiniensis (giant northern termite)	13139
EF990211	1	2754	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Fucales;Fucaceae;Silvetia;"	Silvetia babingtonii	93835
EF990212	1	2768	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Fucales;Himanthaliaceae;Himanthalia;"	Himanthalia elongata	74478
EF990213	1	2710	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Fucales;Hormosiraceae;Hormosira;"	Hormosira banksii	87157
EF990214	1	2730	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Fucales;Notheiaceae;Notheia;"	Notheia anomala	97153
FJ030886	1	2181	"Eukaryota;Stramenopiles;Dictyochophyceae;Florenciellales;"	Pseudochattonella farcimen	465777
EF990215	1	2755	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Fucales;Sargassaceae;Bifurcaria;"	Bifurcaria bifurcata	74462
GAYG01000271	363	3405	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Pinidae;Pinales;Pinaceae;Pinus;Pinus;"	Pinus pinaster	71647
FJ030887	1	2041	"Eukaryota;Stramenopiles;Labyrinthulomycetes;Thraustochytriaceae;Japonochytrium;"	Japonochytrium sp. ATCC 28207	87093
EF990216	1	2621	"Eukaryota;Stramenopiles;PX clade;Phaeophyceae;Fucales;Sargassaceae;Carpoglossum;"	Carpoglossum confluens	97148
FJ030888	1	2297	"Eukaryota;Stramenopiles;Labyrinthulomycetes;Thraustochytriaceae;Thraustochytrium;"	Thraustochytrium aureum	42467
FJ030889	1	3089	"Eukaryota;Stramenopiles;Pelagophyceae;Pelagomonadales;Pelagococcus;"	Pelagococcus subviridis	35679
FJ030890	1	2883	"Eukaryota;Stramenopiles;Chrysophyceae;unclassified Chrysophyceae;Phaeobotrys;"	Phaeobotrys solitaria	420584
FJ030891	1	3259	"Eukaryota;Stramenopiles;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;"	Chattonella marina var. antiqua	859642
LK995728	11364	14550	"Eukaryota;Metazoa;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Panagrolaimomorpha;Strongyloidoidea;Alloionematidae;Rhabditophanes;"	Rhabditophanes sp. KR3021	114890
