Taxa_Name	Taxa_Rank
Archaeoglobi	class
Archaeoglobales	order
Archaeoglobaceae	family
Archaeoglobus	genus
Archaeoglobus fulgidus DSM 4304	no rank
Archaeoglobus fulgidus DSM 8774	no rank
Archaeoglobus profundus DSM 5631	no rank
Archaeoglobus sulfaticallidus PM70-1	no rank
Archaeoglobus veneficus SNP6	no rank
environmental samples	no rank
Ferroglobus	genus
Ferroglobus placidus DSM 10642	no rank
environmental samples	no rank
Geoglobus	genus
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
Diaforarchaea group	no rank
DHVE2 group	no rank
Aciduliprofundum	genus
Aciduliprofundum boonei T469	no rank
environmental samples	no rank
Marine Group II	no rank
Candidatus Thalassoarchaea	class
environmental samples	no rank
Marine Group III	no rank
environmental samples	no rank
Thermoplasmata	class
Methanomassiliicoccales	order
Candidatus Methanomethylophilaceae	family
Candidatus Methanomethylophilus	genus
Candidatus Methanomethylophilus alvus Mx1201	no rank
environmental samples	no rank
Methanomassiliicoccaceae	family
Candidatus Methanogranum	genus
Candidatus Methanoplasma	genus
Methanomassiliicoccus	genus
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	no rank
Methanomassiliicoccus luminyensis B10	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Methanomassiliicoccales	no rank
Thermoplasmatales	order
Cuniculiplasmataceae	family
Cuniculiplasma	genus
environmental samples	no rank
Ferroplasmaceae	family
Acidiplasma	genus
Acidiplasma cupricumulans JCM 13668	no rank
Ferroplasma	genus
Ferroplasma acidarmanus fer1	no rank
environmental samples	no rank
Ferroplasma acidarmanus Type I	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Ferroplasmaceae	no rank
Picrophilaceae	family
Picrophilus	genus
Picrophilus oshimae DSM 9789	no rank
Picrophilus torridus DSM 9790	no rank
Thermoplasmataceae	family
Thermoplasma	genus
Thermoplasma volcanium GSS1	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Thermoplasmatales	no rank
Thermogymnomonas	genus
environmental samples	no rank
unclassified Thermoplasmatales (miscellaneous)	no rank
environmental samples	no rank
unclassified Thermoplasmata	no rank
Hadesarchaea	class
unclassified Hadesarchaea	no rank
Methanomada group	no rank
Methanobacteria	class
Methanobacteriales	order
Methanobacteriaceae	family
Methanobacterium	genus
Methanobacterium formicicum DSM 3637	no rank
Methanobacterium formicicum JCM 10132	no rank
environmental samples	no rank
Methanobrevibacter	genus
Methanobrevibacter arboriphilus ANOR1	no rank
Methanobrevibacter arboriphilus JCM 13429 = DSM 1125	no rank
Methanobrevibacter boviskoreani JH1	no rank
Methanobrevibacter oralis JMR01	no rank
Methanobrevibacter ruminantium M1	no rank
Methanobrevibacter smithii ATCC 35061	no rank
Methanobrevibacter smithii DSM 2375	no rank
Methanobrevibacter smithii TS145A	no rank
Methanobrevibacter smithii TS145B	no rank
Methanobrevibacter smithii TS146A	no rank
Methanobrevibacter smithii TS146B	no rank
Methanobrevibacter smithii TS146C	no rank
Methanobrevibacter smithii TS146D	no rank
Methanobrevibacter smithii TS146E	no rank
Methanobrevibacter smithii TS147A	no rank
Methanobrevibacter smithii TS147B	no rank
Methanobrevibacter smithii TS147C	no rank
Methanobrevibacter smithii TS94A	no rank
Methanobrevibacter smithii TS94B	no rank
Methanobrevibacter smithii TS94C	no rank
Methanobrevibacter smithii TS95A	no rank
Methanobrevibacter smithii TS95B	no rank
Methanobrevibacter smithii TS95C	no rank
Methanobrevibacter smithii TS95D	no rank
Methanobrevibacter smithii TS96A	no rank
Methanobrevibacter wolinii SH	no rank
environmental samples	no rank
unclassified Methanobrevibacter (miscellaneous)	no rank
Methanosphaera	genus
Methanosphaera stadtmanae DSM 3091	no rank
environmental samples	no rank
Methanothermobacter	genus
Methanothermobacter marburgensis str. Marburg	no rank
Methanothermobacter thermautotrophicus str. Delta H	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Methanobacteriaceae	no rank
Methanothermaceae	family
Methanothermus	genus
Methanothermus fervidus DSM 2088	no rank
environmental samples	no rank
environmental samples	no rank
Methanococci	class
Methanococcales	order
Methanocaldococcaceae	family
Methanocaldococcus	genus
Methanocaldococcus fervens AG86	no rank
Methanocaldococcus infernus ME	no rank
Methanocaldococcus jannaschii DSM 2661	no rank
Methanocaldococcus villosus KIN24-T80	no rank
Methanocaldococcus vulcanius M7	no rank
environmental samples	no rank
Methanotorris	genus
Methanotorris formicicus Mc-S-70	no rank
Methanotorris igneus Kol 5	no rank
environmental samples	no rank
Methanococcaceae	family
Methanococcus	genus
Methanococcus aeolicus Nankai-3	no rank
Methanococcus maripaludis C5	no rank
Methanococcus maripaludis C6	no rank
Methanococcus maripaludis C7	no rank
Methanococcus maripaludis KA1	no rank
Methanococcus maripaludis OS7	no rank
Methanococcus maripaludis X1	no rank
Methanococcus vannielii SB	no rank
Methanococcus voltae A3	no rank
Methanococcus voltae PS	no rank
environmental samples	no rank
Methanothermococcus	genus
Methanothermococcus okinawensis IH1	no rank
Methanothermococcus thermolithotrophicus DSM 2095	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Methanococcales	no rank
Methanonatronarchaeia	class
Methanonatronarchaeales	order
Methanonatronarchaeaceae	family
Candidatus Methanohalarchaeum	genus
environmental samples	no rank
Methanopyri	class
Methanopyrales	order
Methanopyraceae	family
Methanopyrus	genus
Methanopyrus kandleri AV19	no rank
environmental samples	no rank
environmental samples	no rank
Stenosarchaea group	no rank
Candidatus Nanohaloarchaeota	subphylum
Nanohaloarchaea	class
Candidatus Haloredivivus	no rank
Candidatus Nanosalina	genus
Candidatus Nanosalinarum	genus
unclassified Nanohaloarchaea	no rank
Halobacteria	class
Halobacteriales	order
Haloarculaceae	family
Halapricum	genus
Haloarcula	genus
Haloarcula amylolytica JCM 13557	no rank
Haloarcula argentinensis DSM 12282	no rank
Haloarcula hispanica ATCC 33960	no rank
Haloarcula hispanica N601	no rank
Haloarcula japonica DSM 6131	no rank
Haloarcula marismortui ATCC 43049	no rank
Haloarcula sinaiiensis ATCC 33800	no rank
Haloarcula vallismortis ATCC 29715	no rank
environmental samples	no rank
Halomicroarcula	genus
environmental samples	no rank
Halomicrobium	genus
Halomicrobium katesii DSM 19301	no rank
Halomicrobium mukohataei DSM 12286	no rank
environmental samples	no rank
Halorhabdus	genus
Halorhabdus tiamatea SARL4B	no rank
Halorhabdus utahensis DSM 12940	no rank
environmental samples	no rank
Halorientalis	genus
environmental samples	no rank
Halosiccatus	genus
Halosimplex	genus
Halosimplex carlsbadense 2-9-1	no rank
environmental samples	no rank
Natronomonas	genus
Natronomonas moolapensis 8.8.11	no rank
Natronomonas pharaonis DSM 2160	no rank
environmental samples	no rank
unclassified Haloarculaceae	no rank
Halobacteriaceae	family
Haladaptatus	genus
Haladaptatus cibarius D43	no rank
Haladaptatus paucihalophilus DX253	no rank
Halalkalicoccus	genus
Halalkalicoccus jeotgali B3	no rank
environmental samples	no rank
Halanaeroarchaeum	genus
Halarchaeum	genus
Halarchaeum acidiphilum MH1-52-1	no rank
environmental samples	no rank
Haloarchaeobius	genus
Halobacterium	genus
Halobacterium salinarum NRC-1	no rank
Halobacterium salinarum R1	no rank
environmental samples	no rank
Halocalculus	genus
Halodesulfurarchaeum	genus
Halomarina	genus
environmental samples	no rank
Halorubellus	genus
environmental samples	no rank
Halorussus	genus
Halostella	genus
Halovenus	genus
Natronoarchaeum	genus
Salarchaeum	genus
Salinirubrum	genus
Salinirussus	genus
environmental samples	no rank
unclassified Halobacteriaceae	no rank
Halococcaceae	family
Halococcus	genus
Halococcus hamelinensis 100A6	no rank
Halococcus morrhuae DSM 1307	no rank
Halococcus saccharolyticus DSM 5350	no rank
Halococcus salifodinae DSM 8989	no rank
Halococcus thailandensis JCM 13552	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Halobacteriales	no rank
Haloalcalophilium	genus
Salinirubellus	genus
unclassified Halobacteriales (miscellaneous)	no rank
Haloferacales	order
Haloferacaceae	family
Halobellus	genus
environmental samples	no rank
Haloferax	genus
Haloferax alexandrinus JCM 10717	no rank
Haloferax denitrificans ATCC 35960	no rank
Haloferax elongans ATCC BAA-1513	no rank
Haloferax gibbonsii ATCC 33959	no rank
Haloferax larsenii JCM 13917	no rank
Haloferax lucentense DSM 14919	no rank
Haloferax mediterranei ATCC 33500	no rank
Haloferax mucosum ATCC BAA-1512	no rank
Haloferax prahovense DSM 18310	no rank
Haloferax sulfurifontis ATCC BAA-897	no rank
Haloferax volcanii DS2	no rank
environmental samples	no rank
Halogeometricum	genus
Halogeometricum borinquense DSM 11551	no rank
Halogeometricum pallidum JCM 14848	no rank
environmental samples	no rank
Halogranum	genus
Halogranum salarium B-1	no rank
Halopelagius	genus
environmental samples	no rank
Haloplanus	genus
Haloplanus natans DSM 17983	no rank
environmental samples	no rank
Haloprofundus	genus
Haloquadratum	genus
Haloquadratum walsbyi C23	no rank
Haloquadratum walsbyi DSM 16790	no rank
Haloquadratum walsbyi J07HQW1	no rank
Haloquadratum walsbyi J07HQW2	no rank
environmental samples	no rank
unclassified Haloferacaceae	no rank
Halorubraceae	family
Candidatus Halobonum	genus
Candidatus Halobonum tyrrellensis G22	no rank
Candidatus Haloectosymbiotes	genus
Halobaculum	genus
Halobium	genus
Halohasta	genus
Halolamina	genus
environmental samples	no rank
Halonotius	genus
environmental samples	no rank
Haloparvum	genus
Halopenitus	genus
Halorubrum	genus
Halorubrum arcis JCM 13916	no rank
Halorubrum californiensis DSM 19288	no rank
Halorubrum distributum JCM 10118	no rank
Halorubrum distributum JCM 9100	no rank
Halorubrum ezzemoulense DSM 17463	no rank
Halorubrum hochstenium ATCC 700873	no rank
Halorubrum kocurii JCM 14978	no rank
Halorubrum lacusprofundi ATCC 49239	no rank
Halorubrum lipolyticum DSM 21995	no rank
Halorubrum litoreum JCM 13561	no rank
Halorubrum saccharovorum DSM 1137	no rank
Halorubrum tebenquichense DSM 14210	no rank
Halorubrum terrestre JCM 10247	no rank
environmental samples	no rank
Salinigranum	genus
unclassified Halorubraceae	no rank
unclassified Haloferacales	no rank
Natrialbales	order
Natrialbaceae	family
Halobiforma	genus
Halobiforma lacisalsi AJ5	no rank
environmental samples	no rank
Halopiger	genus
Halopiger xanaduensis SH-6	no rank
Halostagnicola	genus
Halostagnicola larsenii XH-48	no rank
Haloterrigena	genus
Haloterrigena jeotgali A29	no rank
Haloterrigena salina JCM 13891	no rank
Haloterrigena thermotolerans DSM 11522	no rank
Haloterrigena turkmenica DSM 5511	no rank
environmental samples	no rank
Halovarius	genus
Halovivax	genus
Halovivax asiaticus JCM 14624	no rank
Halovivax ruber XH-70	no rank
Natrarchaeobius	genus
Natrialba	genus
Natrialba asiatica DSM 12278	no rank
Natrialba chahannaoensis JCM 10990	no rank
Natrialba hulunbeirensis JCM 10989	no rank
Natrialba magadii ATCC 43099	no rank
Natrialba taiwanensis DSM 12281	no rank
Natribaculum	genus
Natrinema	genus
Natrinema altunense JCM 12890	no rank
Natrinema pellirubrum DSM 15624	no rank
Natronobacterium	genus
Natronobacterium gregoryi SP2	no rank
Natronobiforma	genus
Natronococcus	genus
Natronococcus amylolyticus DSM 10524	no rank
Natronococcus jeotgali DSM 18795	no rank
Natronococcus occultus SP4	no rank
environmental samples	no rank
Natronolimnobius	genus
Natronolimnobius baerhuensis JCM 12253 = CGMCC 1.3597	no rank
Natronolimnobius innermongolicus JCM 12255	no rank
Natronorubrum	genus
Natronorubrum bangense JCM 10635	no rank
Natronorubrum sulfidifaciens JCM 14089	no rank
Natronorubrum tibetense GA33	no rank
Salinarchaeum	genus
Saliphagus	genus
unclassified Natrialbaceae	no rank
environmental samples	no rank
Methanomicrobia	class
Methanocellales	order
Methanocellaceae	family
Methanocella	genus
Methanocella arvoryzae MRE50	no rank
Methanocella conradii HZ254	no rank
Methanocella paludicola SANAE	no rank
environmental samples	no rank
Methanomicrobiales	order
Methanocalculaceae	family
Methanocalculus	genus
environmental samples	no rank
Methanocorpusculaceae	family
Methanocorpusculum	genus
Methanocorpusculum bavaricum DSM 4179	no rank
Methanocorpusculum labreanum Z	no rank
environmental samples	no rank
Methanomicrobiaceae	family
Methanoculleus	genus
Methanoculleus bourgensis MS2	no rank
Methanoculleus marisnigri JR1	no rank
environmental samples	no rank
Methanofollis	genus
Methanofollis liminatans DSM 4140	no rank
environmental samples	no rank
Methanogenium	genus
Methanogenium cariaci JCM 10550	no rank
environmental samples	no rank
Methanolacinia	genus
Methanolacinia petrolearia DSM 11571	no rank
environmental samples	no rank
Methanomicrobium	genus
Methanomicrobium mobile BP	no rank
environmental samples	no rank
Methanoplanus	genus
Methanoplanus limicola DSM 2279	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Methanomicrobiaceae	no rank
Methanoregulaceae	family
Methanolinea	genus
Methanolinea tarda NOBI-1	no rank
environmental samples	no rank
Methanoregula	genus
Methanoregula boonei 6A8	no rank
Methanoregula formicica SMSP	no rank
environmental samples	no rank
Methanosphaerula	genus
Methanosphaerula palustris E1-9c	no rank
environmental samples	no rank
unclassified Methanoregulaceae	no rank
Methanospirillaceae	family
Methanospirillum	genus
Methanospirillum hungatei JF-1	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Methanomicrobiales	no rank
unclassified Methanomicrobiales (miscellaneous)	no rank
environmental samples	no rank
Methanophagales	order
environmental samples	no rank
Methanosarcinales	order
Candidatus Methanoperedenaceae	family
Candidatus Methanoperedens	genus
Methanosaetaceae	family
Methanothrix	genus
Methanosaeta harundinacea 6Ac	no rank
Methanothrix soehngenii GP6	no rank
Methanothrix thermoacetophila PT	no rank
environmental samples	no rank
environmental samples	no rank
Methanosarcinaceae	family
Methanimicrococcus	genus
environmental samples	no rank
Methanococcoides	genus
Methanococcoides burtonii DSM 6242	no rank
Methanococcoides methylutens MM1	no rank
environmental samples	no rank
Methanohalobium	genus
Methanohalobium evestigatum Z-7303	no rank
Methanohalophilus	genus
Methanohalophilus mahii DSM 5219	no rank
Methanohalophilus portucalensis FDF-1	no rank
environmental samples	no rank
Methanolobus	genus
Methanolobus psychrophilus R15	no rank
Methanolobus tindarius DSM 2278	no rank
environmental samples	no rank
Methanomethylovorans	genus
Methanomethylovorans hollandica DSM 15978	no rank
environmental samples	no rank
Methanosalsum	genus
Methanosalsum zhilinae DSM 4017	no rank
environmental samples	no rank
Methanosarcina	genus
Methanosarcina acetivorans C2A	no rank
Methanosarcina barkeri 227	no rank
Methanosarcina barkeri 3	no rank
Methanosarcina barkeri CM1	no rank
Methanosarcina barkeri JCM 10043	no rank
Methanosarcina barkeri MS	no rank
Methanosarcina barkeri str. Fusaro	no rank
Methanosarcina barkeri str. Wiesmoor	no rank
Methanosarcina horonobensis HB-1 = JCM 15518	no rank
Methanosarcina lacustris Z-7289	no rank
Methanosarcina mazei C16	no rank
Methanosarcina mazei Go1	no rank
Methanosarcina mazei LYC	no rank
Methanosarcina mazei S-6	no rank
Methanosarcina mazei SarPi	no rank
Methanosarcina mazei Tuc01	no rank
Methanosarcina mazei WWM610	no rank
Methanosarcina siciliae C2J	no rank
Methanosarcina siciliae HI350	no rank
Methanosarcina siciliae T4/M	no rank
Methanosarcina thermophila CHTI-55	no rank
Methanosarcina thermophila TM-1	no rank
Methanosarcina vacuolata Z-761	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Methanosarcinaceae	no rank
Methermicoccaceae	family
Methermicoccus	genus
Methermicoccus shengliensis DSM 18856	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Methanosarcinales	no rank
ANME-2 cluster	no rank
Candidatus Syntrophoarchaeum	genus
environmental samples	no rank
environmental samples	no rank
unclassified Methanomicrobia	no rank
Arc I group	no rank
Theionarchaea	class
environmental samples	no rank
Thermococci	class
Thermococcales	order
Thermococcaceae	family
Palaeococcus	genus
Palaeococcus ferrophilus DSM 13482	no rank
Palaeococcus pacificus DY20341	no rank
environmental samples	no rank
Pyrococcus	genus
Pyrococcus abyssi GE5	no rank
Pyrococcus furiosus COM1	no rank
Pyrococcus furiosus DSM 3638	no rank
Pyrococcus horikoshii OT3	no rank
Pyrococcus yayanosii CH1	no rank
Thermococcus	genus
Thermococcus barophilus MP	no rank
Thermococcus gammatolerans EJ3	no rank
Thermococcus guaymasensis DSM 11113	no rank
Thermococcus kodakarensis KOD1	no rank
Thermococcus litoralis DSM 5473	no rank
Thermococcus onnurineus NA1	no rank
Thermococcus sibiricus MM 739	no rank
Thermococcus zilligii AN1	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Thermococcales	no rank
unclassified Thermococcales (miscellaneous)	no rank
environmental samples	no rank
unclassified Euryarchaeota	no rank
DHVE1 group	no rank
environmental samples	no rank
Marine Group IV	no rank
environmental samples	no rank
Marine benthic group (Euryarchaeota)	no rank
environmental samples	no rank
SA2 group	no rank
environmental samples	no rank
candidate division MSBL1	no rank
environmental samples	no rank
candidate division Sediment Archaea-1	no rank
environmental samples	no rank
unclassified Euryarchaeota (miscellaneous)	no rank
TACK group	no rank
Candidatus Bathyarchaeota	phylum
environmental samples	no rank
unclassified Candidatus Bathyarchaeota	no rank
Candidatus Geoarchaeota	phylum
environmental samples	no rank
Candidatus Geothermarchaeota	no rank
Candidatus Korarchaeota	phylum
Candidatus Korarchaeum	genus
Candidatus Korarchaeum cryptofilum OPF8	no rank
environmental samples	no rank
Candidatus Verstraetearchaeota	phylum
Candidatus Methanomethylia	class
Candidatus Methanomethyliales	order
Candidatus Methanomethyliaceae	family
Candidatus Methanomethylicus	genus
Crenarchaeota	phylum
Thermoprotei	class
Acidilobales	order
Acidilobaceae	family
Acidilobus	genus
Acidilobus saccharovorans 345-15	no rank
environmental samples	no rank
Caldisphaeraceae	family
Caldisphaera	genus
Caldisphaera lagunensis DSM 15908	no rank
Desulfurococcales	order
Desulfurococcaceae	family
Aeropyrum	genus
Aeropyrum camini SY1 = JCM 12091	no rank
environmental samples	no rank
Desulfurococcus	genus
Desulfurococcus amylolyticus 1221n	no rank
Desulfurococcus amylolyticus DSM 16532	no rank
Desulfurococcus amylolyticus Z-533	no rank
Desulfurococcus mucosus DSM 2161	no rank
Desulfurococcus mucosus DSM 2162	no rank
environmental samples	no rank
Ignicoccus	genus
Ignicoccus hospitalis KIN4/I	no rank
Ignicoccus islandicus DSM 13165	no rank
Ignisphaera	genus
Ignisphaera aggregans DSM 17230	no rank
environmental samples	no rank
Staphylothermus	genus
Staphylothermus hellenicus DSM 12710	no rank
Staphylothermus marinus F1	no rank
Stetteria	genus
Sulfophobococcus	genus
Thermodiscus	genus
Thermogladius	genus
Thermogladius calderae 1633	no rank
Thermosphaera	genus
Thermosphaera aggregans DSM 11486	no rank
environmental samples	no rank
unclassified Desulfurococcaceae	no rank
Pyrodictiaceae	family
Geogemma	genus
Hyperthermus	genus
Hyperthermus butylicus DSM 5456	no rank
Pyrodictium	genus
Pyrodictium abyssi DSM 6158	no rank
unclassified Pyrodictiaceae	no rank
environmental samples	no rank
unclassified Desulfurococcales	no rank
Caldococcus	genus
environmental samples	no rank
unclassified Desulfurococcales (miscellaneous)	no rank
Fervidicoccales	order
Fervidicoccaceae	family
Fervidicoccus	genus
Fervidicoccus fontis Kam940	no rank
Sulfolobales	order
Sulfolobaceae	family
Acidianus	genus
Acidianus hospitalis W1	no rank
Acidianus sulfidivorans JP7	no rank
environmental samples	no rank
Candidatus Aramenus	genus
Metallosphaera	genus
Metallosphaera cuprina Ar-4	no rank
Metallosphaera hakonensis JCM 8857 = DSM 7519	no rank
Metallosphaera sedula DSM 5348	no rank
Metallosphaera yellowstonensis MK1	no rank
Saccharolobus	genus
Saccharolobus shibatae B12	no rank
Saccharolobus solfataricus 98/2	no rank
Saccharolobus solfataricus P2	no rank
Stygiolobus	genus
environmental samples	no rank
Sulfodiicoccus	genus
Sulfolobus	genus
Sulfolobus acidocaldarius DSM 639	no rank
Sulfolobus acidocaldarius N8	no rank
Sulfolobus acidocaldarius Ron12/I	no rank
Sulfolobus acidocaldarius SUSAZ	no rank
Sulfolobus islandicus HVE10/4	no rank
Sulfolobus islandicus L.D.8.5	no rank
Sulfolobus islandicus L.S.2.15	no rank
Sulfolobus islandicus LAL14/1	no rank
Sulfolobus islandicus M.14.25	no rank
Sulfolobus islandicus M.16.12	no rank
Sulfolobus islandicus M.16.13	no rank
Sulfolobus islandicus M.16.22	no rank
Sulfolobus islandicus M.16.23	no rank
Sulfolobus islandicus M.16.27	no rank
Sulfolobus islandicus M.16.2	no rank
Sulfolobus islandicus M.16.30	no rank
Sulfolobus islandicus M.16.40	no rank
Sulfolobus islandicus M.16.43	no rank
Sulfolobus islandicus M.16.46	no rank
Sulfolobus islandicus M.16.47	no rank
Sulfolobus islandicus M.16.4	no rank
Sulfolobus islandicus REY15A	no rank
Sulfolobus islandicus Y.G.57.14	no rank
Sulfolobus islandicus Y.N.15.51	no rank
Sulfolobus metallicus DSM 6482 = JCM 9184	no rank
environmental samples	no rank
Sulfurisphaera	genus
Sulfurisphaera tokodaii str. 7	no rank
unclassified Sulfolobaceae	no rank
environmental samples	no rank
unclassified Sulfolobales	no rank
Thermoproteales	order
Thermofilaceae	family
Thermofilum	genus
Thermofilum carboxyditrophus 1505	no rank
Thermofilum pendens Hrk 5	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Thermofilaceae	no rank
Thermoproteaceae	family
Caldivirga	genus
Caldivirga maquilingensis IC-167	no rank
Pyrobaculum	genus
Pyrobaculum aerophilum str. IM2	no rank
Pyrobaculum arsenaticum DSM 13514	no rank
Pyrobaculum calidifontis JCM 11548	no rank
Pyrobaculum neutrophilum V24Sta	no rank
Pyrobaculum oguniense TE7	no rank
environmental samples	no rank
Thermocladium	genus
environmental samples	no rank
Thermoproteus	genus
Thermoproteus tenax Kra 1	no rank
Thermoproteus uzoniensis 768-20	no rank
environmental samples	no rank
Vulcanisaeta	genus
Vulcanisaeta distributa DSM 14429	no rank
Vulcanisaeta moutnovskia 768-28	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Crenarchaeota	no rank
candidate division YNPFFA	no rank
unclassified Crenarchaeota (miscellaneous)	no rank
Thaumarchaeota	phylum
Cenarchaeales	order
Cenarchaeaceae	family
Cenarchaeum	genus
Cenarchaeum symbiosum A	no rank
environmental samples	no rank
environmental samples	no rank
Nitrosopumilales	order
Nitrosopumilaceae	family
Candidatus Nitrosomarinus	genus
Nitrosarchaeum	genus
Candidatus Nitrosarchaeum limnium BG20	no rank
Candidatus Nitrosarchaeum limnium SFB1	no rank
Nitrosarchaeum koreense MY1	no rank
Nitrosopumilus	genus
Candidatus Nitrosopumilus koreensis AR1	no rank
Candidatus Nitrosopumilus salaria BD31	no rank
Nitrosopumilus maritimus SCM1	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
Nitrososphaeria	class
Candidatus Nitrosocaldales	order
Candidatus Nitrosocaldaceae	family
Candidatus Nitrosocaldus	genus
environmental samples	no rank
Nitrososphaerales	order
Nitrososphaeraceae	family
Candidatus Nitrosocosmicus	genus
Nitrososphaera	genus
Candidatus Nitrososphaera evergladensis SR1	no rank
Candidatus Nitrososphaera gargensis Ga9.2	no rank
Nitrososphaera viennensis EN76	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Thaumarchaeota	no rank
Candidatus Caldiarchaeum	genus
Candidatus Nitrosopelagicus	genus
Candidatus Nitrosotalea	genus
Candidatus Nitrosotenuis	genus
Marine Group I	no rank
environmental samples	no rank
unclassified Thaumarchaeota (miscellaneous)	no rank
environmental samples	no rank
unclassified Archaea	no rank
unclassified Archaea (miscellaneous)	no rank
Bacteria	superkingdom
Acidobacteria	phylum
Acidobacteriia	class
Acidobacteriales	order
Acidobacteriaceae	family
Acidicapsa	genus
Acidipila	genus
environmental samples	no rank
Acidobacterium	genus
Acidobacterium capsulatum ATCC 51196	no rank
environmental samples	no rank
Bryocella	genus
Candidatus Koribacter	genus
Candidatus Koribacter versatilis Ellin345	no rank
environmental samples	no rank
Edaphobacter	genus
Edaphobacter aggregans DSM 19364	no rank
environmental samples	no rank
Granulicella	genus
Granulicella mallensis MP5ACTX8	no rank
Granulicella tundricola MP5ACTX9	no rank
environmental samples	no rank
Occallatibacter	genus
Silvibacterium	genus
Telmatobacter	genus
environmental samples	no rank
Terracidiphilus	genus
Terriglobus	genus
Terriglobus roseus DSM 18391	no rank
Terriglobus saanensis SP1PR4	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Acidobacteriaceae	no rank
environmental samples	no rank
unclassified Acidobacteriales	no rank
Bryobacterales	order
Bryobacteraceae	family
Bryobacter	genus
Bryobacter aggregatus MPL3	no rank
Paludibaculum	genus
Solibacteraceae	family
Candidatus Solibacter	genus
Candidatus Solibacter usitatus Ellin6076	no rank
environmental samples	no rank
environmental samples	no rank
environmental samples	no rank
Blastocatellia	class
Blastocatellales	order
Blastocatellaceae	family
Aridibacter	genus
Blastocatella	genus
environmental samples	no rank
Stenotrophobacter	genus
Tellurimicrobium	genus
Pyrinomonadaceae	family
Arenimicrobium	genus
Brevitalea	genus
Pyrinomonas	genus
Chloracidobacterium	genus
Chloracidobacterium thermophilum B	no rank
environmental samples	no rank
Holophagae	class
Acanthopleuribacterales	order
Acanthopleuribacteraceae	family
Acanthopleuribacter	genus
Holophagales	order
Holophagaceae	family
Geothrix	genus
Geothrix fermentans DSM 14018	no rank
environmental samples	no rank
Holophaga	genus
Holophaga foetida DSM 6591	no rank
environmental samples	no rank
environmental samples	no rank
Thermotomaculales	order
Thermotomaculaceae	family
Thermotomaculum	genus
environmental samples	no rank
Thermoanaerobaculia	class
