primaryAccession	start	stop	path	organism_name	taxid
AAHF01000017	3748	7449	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;"	Aspergillus fumigatus Af293	29072
AAHN02000051	2372	5250	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;"	Burkholderia mallei ATCC 10399	27892
AAIM02000199	20451	22395	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;"	Fusarium verticillioides 7600	29156
AAIW01000426	67	3312	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Onygenaceae;Uncinocarpus;"	Uncinocarpus reesii 1704	29092
AAIZ01016006	5	2189	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;"	Drosophila persimilis	28651
AAJM01000140	3415	6192	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;"	Bacillus thuringiensis serovar israelensis ATCC 35646	815
AAJN01000138	2980	6690	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;"	Aspergillus terreus NIH2624	29072
AAJO01000178	1	2004	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"	Streptococcus agalactiae 18RS21	887
AAJQ01000017	16070	18970	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"	Streptococcus agalactiae CJB111	887
AAJU02000050	2131	5033	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;"	Escherichia coli F11	28078
AAKD03000011	765402	768463	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;"	Aspergillus clavatus NRRL 1	29072
AAKE03000047	1	2594	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;"	Aspergillus fischeri NRRL 181	29070
AAKO01010716	1	1950	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;"	Drosophila sechellia	28651
AALD02000094	3	2198	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;"	Yersinia mollaretii ATCC 43969	28191
AALV01000004	334123	336984	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;"	Sulfitobacter sp. EE-36	1199
AALY01000002	54107	56938	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius;"	Roseovarius nubinhibens ISM	1191
AALZ01000002	174950	177853	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;"	Sulfitobacter sp. NAS-14.1	1199
AAMN01000002	877005	880121	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia;"	Janibacter sp. HTCC2649	26278
AAMO01000005	170711	173548	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudooceanicola;"	Pseudooceanicola batsensis HTCC2597	13110
AAMT01000002	30897	33724	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Maritimibacter;"	Maritimibacter alkaliphilus HTCC2654	1174
AAMW01000002	1129176	1131966	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;"	Erythrobacter sp. NAP1	16607
AAMX01000056	1	2124	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Idiomarinaceae;Idiomarina;"	Idiomarina baltica OS145	28106
AANB01000001	95448	98273	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter;"	Roseobacter sp. MED193	16551
AANC01000010	1	4154	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;"	Leeuwenhoekiella blandensis MED217	26692
AANE01000003	164327	167216	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinomonadaceae;Marinomonas;"	Marinomonas sp. MED121	28249
AANI01018077	41182	43694	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;"	Drosophila virilis	28651
AANO01000009	2913	5797	"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;"	Synechococcus sp. WH 5701	27043
AANP01000006	61702	64566	"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;"	Synechococcus sp. RS9917	27045
AANQ01000008	501	3539	"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;"	Campylobacter jejuni subsp. jejuni HB93-13	26845
AANV02001379	2	3313	"Eukaryota;Amorphea;Amoebozoa;Archamoebae;Entamoebida;Entamoeba;"	Entamoeba dispar SAW760	28455
AANZ01000030	79034	80940	"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;"	Blastopirellula marina DSM 3645	27822
AAOA02000005	43001	45902	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Congregibacter;"	Congregibacter litoralis KT71	28221
AAOB01000009	89763	92880	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia;"	marine actinobacterium PHSC20C1	26303
AAOE01000040	114	2998	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Reinekea;"	Reinekea blandensis MED297	28278
AAOF01000010	99267	102150	"Bacteria;Proteobacteria;Gammaproteobacteria;Nitrococcales;Nitrococcaceae;"	Nitrococcus mobilis Nb-231	16938
AAOG01000005	1	3156	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter;"	Polaribacter irgensii 23-P	26704
AAOH01000019	225	3116	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas;"	Pseudoalteromonas tunicata D2	28161
AAOJ01000011	193	3085	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Photobacterium;"	Photobacterium angustum S14	28180
AAOK01000002	15474	18338	"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;"	Synechococcus sp. WH 7805	27045
AAOT01000056	12995	16228	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanicola;"	Oceanicola granulosus HTCC2516	1176
AAOU01000004	1393	4295	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Photobacterium;"	Photobacterium sp. SKA34	28180
AAOX01000068	931	3877	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;"	Bacillus sp. NRRL B-14911	815
AAPH01000061	11062	13962	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Photobacterium;"	Photobacterium profundum 3TCK	28180
AAPI01000014	25135	28038	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;SAR92 clade;"	gamma proteobacterium HTCC2207	28267
AAPO01000121	16	3458	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida-Lodderomyces clade;"	Lodderomyces elongisporus NRRL YB-4239	29204
AAPP01017648	3671	6616	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;"	Drosophila ananassae	28641
AAPQ01007177	70	2956	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;"	Drosophila erecta	28651
AAPU01010425	2998	6030	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;"	Drosophila mojavensis	28651
AAPV01000001	375444	378185	"Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;"	Candidatus Pelagibacter ubique HTCC1002	1256
AAQB01010168	45	2565	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;"	Drosophila willistoni	28651
AAQF01000192	1328	4387	"Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfurivibrionaceae;Desulfurivibrio;"	delta proteobacterium MLMS-1	27143
AAQG01000006	170848	173597	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;"	Sphingomonas sp. SKA58	1267
AAQH01000028	29728	32611	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Bermanella;"	Bermanella marisrubri	28274
AAQJ02000001	643589	646581	"Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Rickettsiella;"	Rickettsiella grylli	16873
AARO02000275	173	3102	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;"	Listeria monocytogenes FSL J2-064	27350
AARR02000037	173	3102	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria;"	Listeria monocytogenes FSL R2-503	27350
AASE01000013	25257	28167	"Bacteria;Bacteroidota;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;"	Chlorobium ferrooxidans DSM 13031	26767
AASM01002376	1	2054	"Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Haemosporoidia;Plasmodium;"	Plasmodium falciparum Dd2	11928
AASO01003198	1	2969	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Incertae Sedis;Coccidioides;"	Coccidioides immitis H538.4	29090
AASS01040730	4056	6328	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;"	Drosophila simulans	28651
AATF01000191	54	2770	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;"	mouse gut metagenome	27421
AATM02000029	26848	30462	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces;"	Schizosaccharomyces japonicus yFS275	29301
AATP01000006	43684	47009	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Fulvimarina;"	Fulvimarina pelagi HTCC2506	16472
AATQ01000039	12209	15103	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pelagibaca;"	Pelagibaca bermudensis HTCC2601	16543
AATT01000344	201	5035	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae Sedis;Chytridiomycetes;Rhizophydiales;Incertae Sedis;Batrachochytrium;"	Batrachochytrium dendrobatidis JEL423	28966
AATU01016031	2	2838	"Eukaryota;SAR;Stramenopiles;Peronosporomycetes;Phytophthora;"	Phytophthora infestans T30-4	12108
AATX01000491	18015	20988	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Incertae Sedis;Coccidioides;"	Coccidioides immitis RMSCC 2394	29090
AAUA01000001	812870	815734	"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;"	Synechococcus sp. RS9916	27045
AAUQ01000977	724	3547	"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Nitratifractor;"	epibiont metagenome	26858
AAUV01000037	2107	4946	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Oenococcus;"	Oenococcus oeni ATCC BAA-1163	27342
AAUW01000037	16752	20322	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;Labrenzia;"	Labrenzia aggregata IAM 12614	16493
AAUX01000001	571527	574416	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;OM43 clade;"	Methylophilales bacterium HTCC2181	27989
AAVL02000026	63851	66645	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group;"	Eubacterium ventriosum ATCC 27560	27467
AAVM02000008	185782	188659	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;"	Bacteroides caccae ATCC 43185	26506
AAVN02000012	45686	48649	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;"	Collinsella aerofaciens ATCC 25986	26444
AAVO02000010	99120	102001	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;"	Blautia obeum ATCC 29174	27426
AAVP02000030	1781	4627	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;"	Ruminococcus torques ATCC 27756	27443
AAVT01000006	2133	5009	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Dasania;"	marine gamma proteobacterium HTCC2143	28281
AAVU01000018	83265	86145	"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Lyngbya PCC-7419;"	Lyngbya sp. PCC 8106	26983
AAVV01000015	31733	34613	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Luminiphilus;"	marine gamma proteobacterium HTCC2080	28224
AAWC01002034	1523	5214	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;"	Puccinia graminis f. sp. tritici CRL 75-36-700-3	29441
AAWD01000025	241	3125	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;"	Vibrio cholerae NCTC 8457	28183
AAWL01000048	1	2056	"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Thermosinus;"	Thermosinus carboxydivorans Nor1	27637
AAWS01000102	3	2419	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;Microscilla;"	Microscilla marina ATCC 23134	26633
AAWU01047416	6583	8759	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;"	Culex quinquefasciatus (southern house mosquito)	28641
AAXA02000016	193824	196710	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;"	Dorea formicigenerans ATCC 27755	27434
AAXE02000112	413067	415848	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;"	Parabacteroides merdae ATCC 43184	26562
AAXF02000050	47849	50726	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;"	Bacteroides ovatus ATCC 8483	26506
AAXG02000048	4019	6750	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Pseudoflavonifractor;"	Pseudoflavonifractor capillosus ATCC 29799	27489
AAXH01001346	3163	6478	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;"	Fusarium oxysporum f. sp. lycopersici 4287	29171
AAXS01000003	1977	4361	"Bacteria;Patescibacteria;Gracilibacteria;Candidatus Peregrinibacteria;"	candidate division TM7 genomosp. GTL1	16252
AAXU02000001	4316113	4318976	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;"	Algoriphagus machipongonensis	26597
AAXW01000002	191058	193919	"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;Cyanothece ATCC 51142 (UCYN-C);"	Cyanothece sp. CCY0110	26928
AAXX01000001	701743	704612	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;"	Flavobacteria bacterium BAL38	26677
AAXZ01000001	200469	203284	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;"	Rhodobacteraceae bacterium HTCC2150	1164
AAYA01000003	324342	327215	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sagittula;"	Sagittula stellata E-37	1194
AAYB01000001	852157	854973	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;"	Roseobacter sp. CCS2	1173
AAYC01000001	208670	211502	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter;"	Roseobacter sp. SK209-2-6	1188
AAYG02000028	86111	88906	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gnavus group;"	Ruminococcus gnavus ATCC 29149	27469
AAYH02000044	124483	127349	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;"	Bacteroides uniformis ATCC 8492	26506
AAYI02000004	1737980	1741094	"Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;"	Actinomyces odontolyticus ATCC 17982	26174
AAYN02000002	342228	345129	"Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;"	Ureaplasma urealyticum serovar 8 str. ATCC 27618	27358
AAYO02000002	79169	82070	"Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;"	Ureaplasma urealyticum serovar 4 str. ATCC 27816	27358
AAYP01000006	1904	4811	"Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;"	Ureaplasma urealyticum serovar 7 str. ATCC 27819	27358
AAYQ02000003	80541	83442	"Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;"	Ureaplasma urealyticum serovar 9 str. ATCC 33175	27358
AAYY01000016	139354	142955	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;"	Malassezia globosa CBS 7966	29449
AAYZ01272771	48	3912	"Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Deuterostomia;Chordata;Vertebrata;Gnathostomata;Euteleostomi;"	Ochotona princeps (American pika)	28563
AAZD01000003	178228	181340	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Haemophilus;"	Haemophilus influenzae 22.1-21	28147
