Num,FileName,NumberOfNucleotides,NumberOfWeakBonds,IsPseudoknotted,TimeToGenerateStructuralRNATree[ns]
152,"CRW_16S_B_P_4_nH.db",1544,477,Yes,218480
153,"CRW_16S_B_P_54_nH.db",1536,465,Yes,209399
154,"CRW_16S_B_P_56_nH.db",1541,468,Yes,195808
155,"CRW_16S_B_P_5_nH.db",1489,452,Yes,211302
156,"CRW_16S_B_P_60_nH.db",1551,476,Yes,226590
157,"CRW_16S_B_P_61_nH.db",1533,475,Yes,208827
158,"CRW_16S_B_P_62_nH.db",1542,477,Yes,210258
159,"CRW_16S_B_P_67_nH.db",1542,478,Yes,198993
160,"CRW_16S_B_P_6_nH.db",1528,468,Yes,233085
161,"CRW_16S_B_P_71_nH.db",1542,477,Yes,208496
162,"CRW_16S_B_P_72_nH.db",1542,477,Yes,218640
163,"CRW_16S_B_P_74_nH.db",1525,468,Yes,206606
164,"CRW_16S_B_P_80_nH.db",1494,459,Yes,205272
165,"CRW_16S_B_P_81_nH.db",1539,470,Yes,199784
166,"CRW_16S_B_P_82_nH.db",1539,470,Yes,237138
167,"CRW_16S_B_P_83_nH.db",1539,470,Yes,223629
168,"CRW_16S_B_P_84_nH.db",1539,470,Yes,206450
169,"CRW_16S_B_P_85_nH.db",1539,470,Yes,224663
170,"CRW_16S_B_P_86_nH.db",1538,475,Yes,211327
171,"CRW_16S_B_P_87_nH.db",1503,464,Yes,198856
172,"CRW_16S_B_P_89_nH.db",1505,463,Yes,222536
173,"CRW_16S_B_P_94_nH.db",1541,475,Yes,233667
174,"CRW_16S_B_P_97_nH.db",1543,470,Yes,196903
175,"CRW_16S_B_P_98_nH.db",1543,469,Yes,221263
176,"CRW_16S_B_Pl_78_nH.db",1497,447,Yes,191191
177,"CRW_16S_B_Pl_93_nH.db",1518,465,Yes,199719
178,"CRW_16S_B_S_100_nH.db",1508,463,Yes,198297
179,"CRW_16S_B_S_155_nH.db",1560,484,Yes,218934
180,"CRW_16S_B_S_220_nH.db",1549,478,Yes,367911
181,"CRW_16S_B_S_26_nH.db",1537,477,Yes,209649
182,"CRW_16S_B_S_27_nH.db",1538,476,Yes,208918
183,"CRW_16S_B_S_28_nH.db",1536,475,Yes,200407
184,"CRW_16S_B_S_29_nH.db",1515,469,Yes,199331
185,"CRW_16S_B_S_31_nH.db",1530,472,Yes,200636
186,"CRW_16S_B_S_99_nH.db",1528,470,Yes,203952
187,"CRW_16S_B_Te_115_nH.db",1525,468,Yes,196715
188,"CRW_16S_B_Te_116_nH.db",1519,466,Yes,194844
189,"CRW_16S_B_Te_117_nH.db",1519,465,Yes,224909
190,"CRW_16S_B_Te_118_nH.db",1537,471,Yes,201629
191,"CRW_16S_B_Te_119_nH.db",1524,464,Yes,200167
192,"CRW_16S_B_Te_120_nH.db",1516,463,Yes,226181
193,"CRW_16S_B_Te_121_nH.db",1517,464,Yes,205011
194,"CRW_16S_B_Te_221_nH.db",1517,463,Yes,197403
195,"CRW_16S_B_Te_222_nH.db",1545,468,Yes,205842
196,"CRW_16S_B_The_211_nH.db",1559,482,Yes,221925
197,"CRW_16S_B_The_212_nH.db",1562,484,Yes,239464
198,"CRW_16S_B_The_79_nH.db",1530,468,Yes,207256
