Database	Organism name 	Length	Unpaired Bases	Paired Bases	Pseudoknotted	Pseudoknot order	RNA type	benchmark id	Genus	Core	Coreplus	Shape	Molecola se validata	Descrizione	Reference
CRW	Xanthomonas campestris	76	32	44	No	0	tRNA	CRW_t_B_22	0	(()()())	(()()())	--	No	--	--
CRW	Xanthomonas campestris	76	32	44	No	0	tRNA	CRW_t_B_23	0	(()()())	(()()())	--	No	--	--
CRW	Xanthomonas campestris	76	32	44	No	0	tRNA	CRW_t_B_24	0	(()()())	(()()())	--	No	--	--
CRW	Xanthomonas campestris	76	32	44	No	0	tRNA	CRW_t_B_25	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	76	32	44	No	0	tRNA	CRW_t_E_26	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	76	32	44	No	0	tRNA	CRW_t_E_27	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	76	32	44	No	0	tRNA	CRW_t_E_28	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	76	32	44	No	0	tRNA	CRW_t_E_29	0	(()()())	(()()())	--	No	--	--
CRW	Bacillus halodurans	76	32	44	No	0	tRNA	CRW_t_B_30	0	(()()())	(()()())	--	No	--	--
CRW	Bacillus halodurans	76	32	44	No	0	tRNA	CRW_t_B_31	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	76	32	44	No	0	tRNA	CRW_t_E_32	0	(()()())	(()()())	--	No	--	--
CRW	Leptospira interrogans serovar Icterohaemorrhagiae	79	35	44	No	0	tRNA	CRW_t_B_33	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	76	32	44	No	0	tRNA	CRW_t_E_34	0	(()()())	(()()())	--	No	--	--
CRW	Bacillus halodurans	76	32	44	No	0	tRNA	CRW_t_B_35	0	(()()())	(()()())	--	No	--	--
CRW	Bacillus halodurans	76	32	44	No	0	tRNA	CRW_t_B_36	0	(()()())	(()()())	--	No	--	--
CRW	Bacillus halodurans	76	32	44	No	0	tRNA	CRW_t_B_37	0	(()()())	(()()())	--	No	--	--
CRW	null	76	32	44	No	0	tRNA	CRW_t_NA_38	0	(()()())	(()()())	--	No	--	--
CRW	null	76	32	44	No	0	tRNA	CRW_t_NA_39	0	(()()())	(()()())	--	No	--	--
CRW	null	76	32	44	No	0	tRNA	CRW_t_NA_40	0	(()()())	(()()())	--	No	--	--
CRW	Vibrio parahaemolyticus	76	32	44	No	0	tRNA	CRW_t_B_41	0	(()()())	(()()())	--	No	--	--
CRW	Vibrio parahaemolyticus	76	32	44	No	0	tRNA	CRW_t_B_42	0	(()()())	(()()())	--	No	--	--
CRW	Vibrio parahaemolyticus	76	32	44	No	0	tRNA	CRW_t_B_43	0	(()()())	(()()())	--	No	--	--
CRW	Triticum aestivum	73	29	44	No	0	tRNA	CRW_t_E_44	0	(()()())	(()()())	--	No	--	--
CRW	Triticum aestivum	73	29	44	No	0	tRNA	CRW_t_E_45	0	(()()())	(()()())	--	No	--	--
CRW	Physcomitrella patens subsp. patens	73	29	44	No	0	tRNA	CRW_t_E_46	0	(()()())	(()()())	--	No	--	--
CRW	Halosimplex carlsbadense	72	28	44	No	0	tRNA	CRW_t_A_47	0	(()()())	(()()())	--	No	--	--
CRW	Halosimplex carlsbadense	72	28	44	No	0	tRNA	CRW_t_A_48	0	(()()())	(()()())	--	No	--	--
CRW	Vibrio vulnificus	76	32	44	No	0	tRNA	CRW_t_B_49	0	(()()())	(()()())	--	No	--	--
CRW	Vibrio vulnificus	76	32	44	No	0	tRNA	CRW_t_B_50	0	(()()())	(()()())	--	No	--	--
CRW	Vibrio vulnificus	76	32	44	No	0	tRNA	CRW_t_B_51	0	(()()())	(()()())	--	No	--	--
CRW	Anthoceros formosae	73	29	44	No	0	tRNA	CRW_t_E_52	0	(()()())	(()()())	--	No	--	--
CRW	Anthoceros formosae	73	29	44	No	0	tRNA	CRW_t_E_53	0	(()()())	(()()())	--	No	--	--
CRW	filamentous photosynthetic bacterium Fl90-32	76	32	44	No	0	tRNA	CRW_t_B_54	0	(()()())	(()()())	--	No	--	--
CRW	filamentous photosynthetic bacterium Fl95-5R	76	32	44	No	0	tRNA	CRW_t_B_55	0	(()()())	(()()())	--	No	--	--
CRW	filamentous photosynthetic bacterium Fl98-6	76	32	44	No	0	tRNA	CRW_t_B_56	0	(()()())	(()()())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_57	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_58	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium elkanii	77	35	42	No	0	tRNA	CRW_t_B_59	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_60	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium elkanii	77	35	42	No	0	tRNA	CRW_t_B_61	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium elkanii	77	35	42	No	0	tRNA	CRW_t_B_62	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_63	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium elkanii	77	35	42	No	0	tRNA	CRW_t_B_64	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium elkanii	77	35	42	No	0	tRNA	CRW_t_B_65	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum USDA 110	77	35	42	No	0	tRNA	CRW_t_B_66	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_67	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_68	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_69	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_70	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_71	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_72	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_73	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium elkanii	77	35	42	No	0	tRNA	CRW_t_B_74	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_75	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium liaoningense	77	35	42	No	0	tRNA	CRW_t_B_76	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_77	0	(()()())	(()(())())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_78	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_79	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_80	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_81	0	(()()())	(()()())	--	No	--	--
CRW	Heterosigma akashiwo	73	29	44	No	0	tRNA	CRW_t_E_82	0	(()()())	(()()())	--	No	--	--
CRW	Heterosigma akashiwo	73	29	44	No	0	tRNA	CRW_t_E_83	0	(()()())	(()()())	--	No	--	--
CRW	Heterosigma akashiwo	73	29	44	No	0	tRNA	CRW_t_E_84	0	(()()())	(()()())	--	No	--	--
CRW	Heterosigma akashiwo	73	29	44	No	0	tRNA	CRW_t_E_85	0	(()()())	(()()())	--	No	--	--
CRW	Campylobacter lari	76	32	44	No	0	tRNA	CRW_t_B_86	0	(()()())	(()()())	--	No	--	--
CRW	Tuberibacillus calidus	76	32	44	No	0	tRNA	CRW_t_B_87	0	(()()())	(()()())	--	No	--	--
CRW	Sporolactobacillus terrae	76	32	44	No	0	tRNA	CRW_t_B_88	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus paracasei subsp. tolerans	73	29	44	No	0	tRNA	CRW_t_B_89	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus casei ATCC 334	73	29	44	No	0	tRNA	CRW_t_B_90	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus paracasei subsp. paracasei	73	29	44	No	0	tRNA	CRW_t_B_91	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus paracasei subsp. paracasei	73	29	44	No	0	tRNA	CRW_t_B_92	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus paracasei subsp. paracasei	73	29	44	No	0	tRNA	CRW_t_B_93	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus rhamnosus	73	29	44	No	0	tRNA	CRW_t_B_94	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus zeae	73	29	44	No	0	tRNA	CRW_t_B_95	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus casei subsp. casei ATCC 393	73	29	44	No	0	tRNA	CRW_t_B_96	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus casei	73	29	44	No	0	tRNA	CRW_t_B_97	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus casei	73	29	44	No	0	tRNA	CRW_t_B_98	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus casei	73	29	44	No	0	tRNA	CRW_t_B_99	0	(()()())	(()()())	--	No	--	--
CRW	Lactobacillus casei	73	29	44	No	0	tRNA	CRW_t_B_100	0	(()()())	(()()())	--	No	--	--
CRW	Nicotiana sylvestris	73	29	44	No	0	tRNA	CRW_t_E_101	0	(()()())	(()()())	--	No	--	--
CRW	Nicotiana sylvestris	73	29	44	No	0	tRNA	CRW_t_E_102	0	(()()())	(()()())	--	No	--	--
CRW	Nicotiana tomentosiformis	73	29	44	No	0	tRNA	CRW_t_E_103	0	(()()())	(()()())	--	No	--	--
CRW	Nicotiana tomentosiformis	73	29	44	No	0	tRNA	CRW_t_E_104	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus sp. IS-Hb2	76	32	44	No	0	tRNA	CRW_t_B_105	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus sp. IS-Hb2	76	32	44	No	0	tRNA	CRW_t_B_106	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus sp. IS-Hb7	76	32	44	No	0	tRNA	CRW_t_B_107	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus sp. IS-Hb7	76	32	44	No	0	tRNA	CRW_t_B_108	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus sp. IS-Hb4	76	32	44	No	0	tRNA	CRW_t_B_109	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus sp. IS-Hb4	76	32	44	No	0	tRNA	CRW_t_B_110	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus trueperi	76	32	44	No	0	tRNA	CRW_t_B_111	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus trueperi	76	32	44	No	0	tRNA	CRW_t_B_112	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus litoralis	76	32	44	No	0	tRNA	CRW_t_B_113	0	(()()())	(()()())	--	No	--	--
CRW	Halobacillus salinus	76	32	44	No	0	tRNA	CRW_t_B_114	0	(()()())	(()()())	--	No	--	--
CRW	Virgibacillus sp. SA-Vb1	73	29	44	No	0	tRNA	CRW_t_B_115	0	(()()())	(()()())	--	No	--	--
CRW	Bacillus sp. 2-9-3	73	29	44	No	0	tRNA	CRW_t_B_116	0	(()()())	(()()())	--	No	--	--
CRW	Virgibacillus marismortui	73	29	44	No	0	tRNA	CRW_t_B_117	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_118	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_119	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_120	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_121	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_122	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_123	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_124	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_125	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_126	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_127	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_128	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_129	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_130	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_131	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_132	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_133	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_134	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_135	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_136	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_137	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	40	28	12	No	0	tRNA	CRW_t_B_138	0	()()	()()	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_139	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_140	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_141	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_142	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium rhizogenes	76	32	44	No	0	tRNA	CRW_t_B_143	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_144	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_145	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_146	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_147	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_148	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_149	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_150	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_151	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_152	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium tumefaciens	76	32	44	No	0	tRNA	CRW_t_B_153	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_154	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_155	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_156	0	(()()())	(()()())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_157	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	76	32	44	No	0	tRNA	CRW_t_B_158	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_159	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_160	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_161	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_162	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_163	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_164	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_165	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_166	0	(()()())	(()()())	--	No	--	--
CRW	Taylorella asinigenitalis	75	33	42	No	0	tRNA	CRW_t_B_167	0	(()()())	(()()())	--	No	--	--
CRW	Sinorhizobium fredii	76	32	44	No	0	tRNA	CRW_t_B_168	0	(()()())	(()()())	--	No	--	--
CRW	Sinorhizobium fredii	76	32	44	No	0	tRNA	CRW_t_B_169	0	(()()())	(()()())	--	No	--	--
CRW	Sinorhizobium fredii	76	32	44	No	0	tRNA	CRW_t_B_170	0	(()()())	(()()())	--	No	--	--
CRW	Sinorhizobium fredii	76	32	44	No	0	tRNA	CRW_t_B_171	0	(()()())	(()()())	--	No	--	--
CRW	Sinorhizobium sp. HF6	76	32	44	No	0	tRNA	CRW_t_B_172	0	(()()())	(()()())	--	No	--	--
CRW	Sinorhizobium sp. HF12	76	32	44	No	0	tRNA	CRW_t_B_173	0	(()()())	(()()())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_174	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_175	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_176	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_177	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_178	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_179	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_180	0	(()()())	(()(())())	--	No	--	--
CRW	Bradyrhizobium japonicum	77	35	42	No	0	tRNA	CRW_t_B_181	0	(()()())	(()(())())	--	No	--	--
CRW	Agrobacterium vitis	76	32	44	No	0	tRNA	CRW_t_B_182	0	(()()())	(()()())	--	No	--	--
CRW	Acinetobacter baumannii	76	32	44	No	0	tRNA	CRW_t_B_183	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_184	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_185	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_186	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_187	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_188	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_189	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_190	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_191	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_192	0	(()()())	(()()())	--	No	--	--
CRW	Oryza sativa Japonica Group (Japanice rice)	73	29	44	No	0	tRNA	CRW_t_E_193	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_194	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_195	0	(()()())	(()()())	--	No	--	--
CRW	Arabidopsis thaliana	73	29	44	No	0	tRNA	CRW_t_E_196	0	(()()())	(()()())	--	No	--	--
CRW	Oryza sativa Japonica Group (Japanice rice)	73	29	44	No	0	tRNA	CRW_t_E_197	0	(()()())	(()()())	--	No	--	--
CRW	Oryza sativa Japonica Group (Japanice rice)	73	29	44	No	0	tRNA	CRW_t_E_198	0	(()()())	(()()())	--	No	--	--
CRW	Caenorhabditis briggsae	72	28	44	No	0	tRNA	CRW_t_E_199	0	(()()())	(()()())	--	No	--	--
CRW	Oryza sativa Japonica Group (Japanice rice)	73	29	44	No	0	tRNA	CRW_t_E_200	0	(()()())	(()()())	--	No	--	--
CRW	Oryza sativa Japonica Group (Japanice rice)	73	29	44	No	0	tRNA	CRW_t_E_201	0	(()()())	(()()())	--	No	--	--
CRW	Oryza sativa Japonica Group (Japanice rice)	73	29	44	No	0	tRNA	CRW_t_E_202	0	(()()())	(()()())	--	No	--	--
CRW	Oryza sativa Japonica Group (Japanice rice)	73	29	44	No	0	tRNA	CRW_t_E_203	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	73	29	44	No	0	tRNA	CRW_t_E_204	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_205	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_206	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_207	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_208	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_209	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_210	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	73	29	44	No	0	tRNA	CRW_t_E_211	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	69	33	36	No	0	tRNA	CRW_t_E_212	0	(()()())	((()()()))	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_213	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_214	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_215	0	(()()())	(()()())	--	No	--	--
CRW	Mus musculus	72	28	44	No	0	tRNA	CRW_t_E_216	0	(()()())	(()()())	--	No	--	--
CRW	Medicago truncatula	73	29	44	No	0	tRNA	CRW_t_E_217	0	(()()())	(()()())	--	No	--	--
CRW	Medicago truncatula	73	29	44	No	0	tRNA	CRW_t_E_218	0	(()()())	(()()())	--	No	--	--
CRW	Medicago truncatula	73	29	44	No	0	tRNA	CRW_t_E_219	0	(()()())	(()()())	--	No	--	--
CRW	Medicago truncatula	73	29	44	No	0	tRNA	CRW_t_E_220	0	(()()())	(()()())	--	No	--	--
CRW	Trypanosoma brucei	73	29	44	No	0	tRNA	CRW_t_E_221	0	(()()())	(()()())	--	No	--	--
CRW	Trypanosoma brucei	73	29	44	No	0	tRNA	CRW_t_E_222	0	(()()())	(()()())	--	No	--	--
